ID; COMPRAS ACUMULADAS ;MESES CUMPLIENDO VENTAS;ESTADO CIVIL;SEXO;Ubicaci—n geogr‡fica
47; $ 178.739.750 ;1;SOLTERO;FEMENINO;Oeste
48; $ 305.374.050 ;8;SOLTERO;FEMENINO;Oeste
49; $ 339.103.150 ;9;SOLTERO;FEMENINO;Oeste
50; $ 294.622.300 ;1;SOLTERO;FEMENINO;Oeste
51; $ 224.970.650 ;4;SOLTERO;FEMENINO;Oeste
52; $ 337.795.550 ;9;SOLTERO;FEMENINO;Oeste
53; $ 63.235.000 ;1;SOLTERO;FEMENINO;Oeste
54; $ 367.216.500 ;3;SOLTERO;FEMENINO;Oeste
55; $ 318.180.000 ;8;SOLTERO;FEMENINO;Oeste
56; $ 256.542.100 ;1;SOLTERO;FEMENINO;Oeste
57; $ 144.228.300 ;0;SOLTERO;FEMENINO;Oeste
58; $ 128.733.800 ;2;SOLTERO;FEMENINO;Oeste
59; $ 313.374.100 ;7;SOLTERO;FEMENINO;Oeste
60; $ 120.664.600 ;3;SOLTERO;FEMENINO;Oeste
61; $ 504.931.200 ;6;SOLTERO;FEMENINO;Oeste
62; $ 247.756.050 ;6;CASADO;FEMENINO;Oeste
63; $ 557.474.500 ;3;CASADO;FEMENINO;Oeste
64; $ 450.316.650 ;9;CASADO;FEMENINO;Oeste
65; $ 210.660.500 ;5;CASADO;FEMENINO;Oeste
66; $ 229.969.800 ;5;CASADO;FEMENINO;Oeste
67; $ 289.174.700 ;5;CASADO;FEMENINO;Oeste
68; $ 482.758.600 ;7;CASADO;FEMENINO;Oeste
69; $ 358.696.150 ;6;CASADO;FEMENINO;Oeste
70; $ 215.116.650 ;3;CASADO;FEMENINO;Oeste
71; $ 213.436.850 ;2;CASADO;FEMENINO;Oeste
72; $ 187.157.800 ;1;CASADO;FEMENINO;Oeste
73; $ 272.177.900 ;5;CASADO;FEMENINO;Oeste
74; $ 239.704.750 ;2;CASADO;FEMENINO;Oeste
75; $ 334.961.300 ;4;CASADO;FEMENINO;Oeste
76; $ 182.571.650 ;3;SOLTERO;FEMENINO;Oeste
77; $ 359.582.950 ;7;SOLTERO;FEMENINO;Oeste
78; $ 647.573.200 ;7;SOLTERO;FEMENINO;Oeste
79; $ 498.799.700 ;3;SOLTERO;FEMENINO;Oeste
80; $ 208.646.750 ;3;SOLTERO;FEMENINO;Oeste
81; $ 409.639.750 ;6;SOLTERO;FEMENINO;Oeste
82; $ 70.565.100 ;0;SOLTERO;FEMENINO;Oeste
83; $ 78.657.250 ;2;SOLTERO;FEMENINO;Oeste
84; $ 263.128.800 ;3;SOLTERO;FEMENINO;Oeste
85; $ 179.207.650 ;3;SOLTERO;FEMENINO;Oeste
86; $ 213.767.500 ;3;SOLTERO;FEMENINO;Oeste
87; $ 281.573.200 ;6;SOLTERO;FEMENINO;Oeste
88; $ 491.668.000 ;1;SOLTERO;FEMENINO;Oeste
89; $ 246.213.500 ;3;SOLTERO;FEMENINO;Oeste
90; $ 267.638.700 ;5;SOLTERO;FEMENINO;Oeste
91; $ 137.005.200 ;1;SOLTERO;FEMENINO;Oeste
92; $ 307.426.400 ;7;CASADO;FEMENINO;Oeste
93; $ 624.851.850 ;9;CASADO;FEMENINO;Oeste
94; $ 421.633.550 ;9;CASADO;FEMENINO;Oeste
95; $ 345.557.850 ;5;CASADO;FEMENINO;Oeste
96; $ 514.451.200 ;8;CASADO;FEMENINO;Oeste
97; $ 91.995.950 ;3;CASADO;FEMENINO;Oeste
98; $ 596.464.300 ;9;CASADO;FEMENINO;Oeste
99; $ 241.061.000 ;5;CASADO;FEMENINO;Oeste
100; $ 546.286.750 ;9;CASADO;FEMENINO;Oeste
101; $ 437.472.450 ;9;CASADO;FEMENINO;Oeste
102; $ 579.527.800 ;6;CASADO;FEMENINO;Oeste
103; $ 341.824.150 ;4;CASADO;FEMENINO;Oeste
104; $ 364.775.050 ;7;CASADO;FEMENINO;Oeste
105; $ 360.871.400 ;8;CASADO;FEMENINO;Oeste
106; $ 251.492.700 ;7;CASADO;FEMENINO;Oeste
107; $ 292.288.300 ;6;CASADO;FEMENINO;Oeste
108; $ 453.998.100 ;9;SOLTERO;FEMENINO;Oeste
109; $ 639.476.750 ;7;SOLTERO;FEMENINO;Oeste
110; $ 144.584.600 ;3;SOLTERO;FEMENINO;Oeste
111; $ 168.424.150 ;6;SOLTERO;FEMENINO;Oeste
112; $ 489.322.600 ;6;SOLTERO;FEMENINO;Oeste
113; $ 491.477.950 ;5;SOLTERO;FEMENINO;Oeste
114; $ 477.181.300 ;4;SOLTERO;FEMENINO;Oeste
115; $ 342.649.950 ;2;SOLTERO;FEMENINO;Oeste
116; $ 131.224.550 ;3;SOLTERO;FEMENINO;Oeste
117; $ 474.652.000 ;7;UNION LIBRE;FEMENINO;Oeste
118; $ 110.925.650 ;2;SOLTERO;FEMENINO;Oeste
119; $ 312.643.700 ;6;SOLTERO;FEMENINO;Oeste
120; $ 372.398.200 ;6;SOLTERO;FEMENINO;Oeste
121; $ 204.665.350 ;3;SOLTERO;FEMENINO;Oeste
122; $ 432.596.600 ;2;SOLTERO;FEMENINO;Oeste
123; $ 271.582.900 ;4;SOLTERO;FEMENINO;Oeste
124; $ 396.798.050 ;3;SOLTERO;FEMENINO;Oeste
125; $ 166.257.550 ;0;SOLTERO;FEMENINO;Oeste
126; $ 278.375.650 ;6;SOLTERO;FEMENINO;Oeste
127; $ 179.922.800 ;7;UNION LIBRE;FEMENINO;Oeste
128; $ 326.782.400 ;3;UNION LIBRE;FEMENINO;Oeste
129; $ 172.523.050 ;3;UNION LIBRE;FEMENINO;Oeste
130; $ 231.024.000 ;6;UNION LIBRE;FEMENINO;Oeste
131; $ 236.447.700 ;6;UNION LIBRE;FEMENINO;Oeste
132; $ 197.820.600 ;6;UNION LIBRE;FEMENINO;Oeste
133; $ 211.745.050 ;7;UNION LIBRE;FEMENINO;Oeste
134; $ 293.432.850 ;5;UNION LIBRE;FEMENINO;Oeste
135; $ 121.653.750 ;2;UNION LIBRE;FEMENINO;Oeste
136; $ 221.244.050 ;1;UNION LIBRE;FEMENINO;Oeste
137; $ 250.949.650 ;4;UNION LIBRE;FEMENINO;Oeste
138; $ 425.856.200 ;3;UNION LIBRE;FEMENINO;Oeste
139; $ 679.258.450 ;5;UNION LIBRE;FEMENINO;Oeste
140; $ 961.571.750 ;3;UNION LIBRE;FEMENINO;Oeste
141; $ 157.257.300 ;1;UNION LIBRE;FEMENINO;Oeste
142; $ 819.717.450 ;3;UNION LIBRE;FEMENINO;Oeste
143; $ 422.472.000 ;7;UNION LIBRE;FEMENINO;Oeste
144; $ 371.461.950 ;2;UNION LIBRE;FEMENINO;Oeste
145; $ 604.644.300 ;6;UNION LIBRE;FEMENINO;Oeste
146; $ 442.384.650 ;4;UNION LIBRE;FEMENINO;Oeste
147; $ 256.931.700 ;9;UNION LIBRE;FEMENINO;Oeste
148; $ 185.004.350 ;3;UNION LIBRE;FEMENINO;Oeste
149; $ 298.516.350 ;3;UNION LIBRE;FEMENINO;Oeste
150; $ 262.080.600 ;3;UNION LIBRE;FEMENINO;Oeste
151; $ 525.764.700 ;1;UNION LIBRE;FEMENINO;Oeste
152; $ 298.271.850 ;3;UNION LIBRE;FEMENINO;Oeste
153; $ 97.216.100 ;1;UNION LIBRE;FEMENINO;Oeste
154; $ 49.065.400 ;1;UNION LIBRE;FEMENINO;Oeste
155; $ 151.247.150 ;2;UNION LIBRE;FEMENINO;Oeste
156; $ 90.309.550 ;3;UNION LIBRE;FEMENINO;Oeste
157; $ 244.497.200 ;5;SOLTERO;FEMENINO;Oeste
158; $ 307.398.550 ;4;SOLTERO;FEMENINO;Oeste
159; $ 106.982.650 ;2;SOLTERO;FEMENINO;Oeste
160; $ 135.083.350 ;1;SOLTERO;FEMENINO;Oeste
161; $ 232.631.600 ;1;SOLTERO;FEMENINO;Oeste
162; $ 107.965.350 ;1;SOLTERO;FEMENINO;Oeste
163; $ 207.275.700 ;1;SOLTERO;FEMENINO;Oeste
164; $ 284.905.800 ;2;SOLTERO;FEMENINO;Oeste
165; $ 173.595.850 ;1;SOLTERO;FEMENINO;Oeste
166; $ 236.096.200 ;1;SOLTERO;FEMENINO;Oeste
167; $ 219.839.100 ;4;SOLTERO;FEMENINO;Oeste
168; $ 161.190.050 ;0;SOLTERO;FEMENINO;Oeste
169; $ 171.377.600 ;1;SOLTERO;FEMENINO;Oeste
170; $ 211.776.600 ;2;SOLTERO;FEMENINO;Oeste
171; $ 72.834.600 ;0;SOLTERO;FEMENINO;Oeste
172; $ 215.584.450 ;1;SOLTERO;FEMENINO;Oeste
173; $ 109.674.150 ;2;SOLTERO;FEMENINO;Oeste
174; $ 156.560.950 ;4;SOLTERO;FEMENINO;Oeste
175; $ 279.574.100 ;5;SOLTERO;FEMENINO;Oeste
176; $ 375.898.800 ;6;SOLTERO;FEMENINO;Oeste
177; $ 213.430.500 ;5;SOLTERO;FEMENINO;Oeste
178; $ 282.225.700 ;4;SOLTERO;FEMENINO;Oeste
179; $ 233.353.100 ;3;SOLTERO;FEMENINO;Oeste
180; $ 287.023.050 ;5;SOLTERO;FEMENINO;Oeste
181; $ 203.097.950 ;5;SOLTERO;FEMENINO;Oeste
182; $ 330.939.650 ;3;SOLTERO;FEMENINO;Oeste
183; $ 281.022.250 ;1;SOLTERO;FEMENINO;Oeste
184; $ 262.635.350 ;4;SOLTERO;FEMENINO;Oeste
185; $ 316.234.150 ;4;SOLTERO;FEMENINO;Oeste
186; $ 160.646.250 ;1;SOLTERO;FEMENINO;Oeste
187; $ 109.018.500 ;1;SOLTERO;FEMENINO;Oeste
188; $ 231.331.950 ;4;SOLTERO;FEMENINO;Oeste
189; $ 206.081.650 ;0;SOLTERO;FEMENINO;Oeste
190; $ 263.226.100 ;4;SOLTERO;FEMENINO;Oeste
191; $ 149.431.450 ;3;SOLTERO;FEMENINO;Oeste
192; $ 195.460.050 ;0;SOLTERO;FEMENINO;Oeste
193; $ 68.769.450 ;1;SOLTERO;FEMENINO;Oeste
194; $ 136.903.150 ;1;SOLTERO;FEMENINO;Oeste
195; $ 162.325.000 ;3;SOLTERO;FEMENINO;Oeste
196; $ 172.561.850 ;1;SOLTERO;FEMENINO;Oeste
197; $ 131.753.050 ;1;SOLTERO;FEMENINO;Oeste
198; $ 259.290.300 ;3;SOLTERO;FEMENINO;Oeste
199; $ 184.769.700 ;4;SOLTERO;FEMENINO;Oeste
200; $ 514.802.000 ;4;SOLTERO;FEMENINO;Oeste
201; $ 110.533.300 ;3;UNION LIBRE;FEMENINO;Oeste
202; $ 317.337.000 ;6;UNION LIBRE;FEMENINO;Oeste
203; $ 115.604.800 ;3;UNION LIBRE;FEMENINO;Oeste
204; $ 245.091.550 ;3;UNION LIBRE;FEMENINO;Oeste
205; $ 431.019.300 ;3;UNION LIBRE;FEMENINO;Oeste
206; $ 141.271.100 ;2;UNION LIBRE;FEMENINO;Oeste
207; $ 708.143.900 ;6;UNION LIBRE;FEMENINO;Oeste
208; $ 477.074.650 ;4;UNION LIBRE;FEMENINO;Oeste
209; $ 185.565.600 ;2;UNION LIBRE;FEMENINO;Oeste
210; $ 204.286.850 ;3;UNION LIBRE;FEMENINO;Oeste
211; $ 176.214.400 ;2;UNION LIBRE;FEMENINO;Oeste
212; $ 207.284.450 ;3;UNION LIBRE;FEMENINO;Oeste
213; $ 289.290.800 ;2;UNION LIBRE;FEMENINO;Oeste
214; $ 527.727.250 ;5;UNION LIBRE;FEMENINO;Oeste
215; $ 258.034.600 ;2;UNION LIBRE;FEMENINO;Oeste
216; $ 202.382.900 ;4;UNION LIBRE;FEMENINO;Oeste
217; $ 185.040.050 ;3;UNION LIBRE;FEMENINO;Oeste
218; $ 254.174.550 ;4;UNION LIBRE;FEMENINO;Oeste
219; $ 222.289.200 ;3;UNION LIBRE;FEMENINO;Oeste
220; $ 313.647.300 ;2;UNION LIBRE;FEMENINO;Oeste
221; $ 275.193.150 ;4;UNION LIBRE;FEMENINO;Oeste
222; $ 171.475.750 ;3;UNION LIBRE;FEMENINO;Oeste
223; $ 243.380.300 ;4;UNION LIBRE;FEMENINO;Oeste
224; $ 157.111.800 ;1;UNION LIBRE;FEMENINO;Oeste
225; $ 619.236.750 ;1;UNION LIBRE;FEMENINO;Oeste
226; $ 327.212.050 ;3;UNION LIBRE;FEMENINO;Oeste
227; $ 199.585.700 ;4;UNION LIBRE;FEMENINO;Oeste
228; $ 197.844.200 ;3;UNION LIBRE;FEMENINO;Oeste
229; $ 212.740.100 ;2;UNION LIBRE;FEMENINO;Oeste
230; $ 197.687.700 ;2;UNION LIBRE;FEMENINO;Oeste
231; $ 438.824.800 ;3;UNION LIBRE;FEMENINO;Oeste
232; $ 634.025.600 ;3;UNION LIBRE;FEMENINO;Oeste
233; $ 108.042.450 ;0;UNION LIBRE;FEMENINO;Oeste
234; $ 328.976.950 ;6;UNION LIBRE;FEMENINO;Oeste
235; $ 809.170.500 ;7;UNION LIBRE;FEMENINO;Oeste
236; $ 969.909.900 ;4;UNION LIBRE;FEMENINO;Oeste
237; $ 287.961.450 ;8;UNION LIBRE;FEMENINO;Oeste
238; $ 1.494.129.250 ;3;UNION LIBRE;FEMENINO;Oeste
239; $ 435.114.600 ;3;SOLTERO;FEMENINO;Oeste
240; $ 523.222.750 ;8;SOLTERO;FEMENINO;Oeste
241; $ 259.631.300 ;5;SOLTERO;FEMENINO;Oeste
242; $ 1.087.902.600 ;9;SOLTERO;FEMENINO;Oeste
243; $ 582.996.950 ;8;SOLTERO;FEMENINO;Oeste
244; $ 1.628.206.250 ;3;SOLTERO;FEMENINO;Oeste
245; $ 512.817.900 ;2;SOLTERO;FEMENINO;Oeste
246; $ 1.324.680.550 ;6;SOLTERO;FEMENINO;Oeste
247; $ 857.293.850 ;9;SOLTERO;FEMENINO;Oeste
248; $ 1.139.517.150 ;2;SOLTERO;FEMENINO;Oeste
249; $ 366.739.700 ;6;SOLTERO;FEMENINO;Oeste
250; $ 600.185.500 ;4;SOLTERO;FEMENINO;Oeste
251; $ 1.560.997.000 ;5;SOLTERO;FEMENINO;Oeste
252; $ 784.646.400 ;8;SOLTERO;FEMENINO;Oeste
253; $ 244.091.600 ;4;SOLTERO;FEMENINO;Oeste
254; $ 350.413.750 ;2;SOLTERO;FEMENINO;Oeste
255; $ 348.357.850 ;6;SOLTERO;FEMENINO;Oeste
256; $ 902.720.250 ;4;SOLTERO;FEMENINO;Oeste
257; $ 703.935.200 ;9;SOLTERO;FEMENINO;Oeste
258; $ 580.972.400 ;3;SOLTERO;FEMENINO;Oeste
259; $ 609.209.250 ;6;SOLTERO;FEMENINO;Oeste
260; $ 483.621.100 ;2;SOLTERO;FEMENINO;Oeste
261; $ 445.309.700 ;5;SOLTERO;FEMENINO;Oeste
262; $ 419.488.000 ;1;SOLTERO;FEMENINO;Oeste
263; $ 339.416.100 ;3;SOLTERO;FEMENINO;Oeste
264; $ 309.142.800 ;0;SOLTERO;FEMENINO;Oeste
265; $ 390.880.050 ;3;SOLTERO;FEMENINO;Oeste
266; $ 1.022.017.750 ;5;UNION LIBRE;FEMENINO;Oeste
267; $ 298.003.250 ;4;UNION LIBRE;FEMENINO;Oeste
268; $ 442.490.600 ;2;UNION LIBRE;FEMENINO;Oeste
269; $ 347.446.100 ;1;UNION LIBRE;FEMENINO;Oeste
270; $ 462.331.700 ;6;UNION LIBRE;FEMENINO;Oeste
271; $ 470.896.900 ;5;UNION LIBRE;FEMENINO;Oeste
272; $ 576.433.200 ;2;UNION LIBRE;FEMENINO;Oeste
273; $ 350.138.450 ;2;UNION LIBRE;FEMENINO;Oeste
274; $ 366.400.000 ;5;UNION LIBRE;FEMENINO;Oeste
275; $ 256.656.150 ;4;UNION LIBRE;FEMENINO;Oeste
276; $ 376.267.200 ;4;UNION LIBRE;FEMENINO;Oeste
277; $ 319.221.800 ;2;UNION LIBRE;FEMENINO;Oeste
278; $ 625.113.350 ;5;UNION LIBRE;FEMENINO;Oeste
279; $ 507.115.450 ;7;UNION LIBRE;FEMENINO;Oeste
280; $ 341.937.550 ;0;UNION LIBRE;FEMENINO;Oeste
281; $ 632.747.150 ;1;UNION LIBRE;FEMENINO;Oeste
282; $ 742.180.700 ;5;UNION LIBRE;FEMENINO;Oeste
283; $ 824.441.400 ;9;UNION LIBRE;FEMENINO;Oeste
284; $ 508.090.500 ;5;UNION LIBRE;FEMENINO;Oeste
285; $ 347.550.950 ;4;UNION LIBRE;FEMENINO;Oeste
286; $ 467.513.000 ;3;UNION LIBRE;FEMENINO;Oeste
287; $ 756.149.900 ;7;UNION LIBRE;FEMENINO;Oeste
288; $ 419.664.700 ;6;UNION LIBRE;FEMENINO;Oeste
289; $ 1.157.984.350 ;4;UNION LIBRE;FEMENINO;Oeste
290; $ 742.406.650 ;9;UNION LIBRE;FEMENINO;Oeste
291; $ 1.187.522.850 ;2;UNION LIBRE;FEMENINO;Oeste
292; $ 394.071.450 ;4;UNION LIBRE;FEMENINO;Oeste
293; $ 712.945.450 ;1;UNION LIBRE;FEMENINO;Oeste
294; $ 482.322.650 ;5;UNION LIBRE;FEMENINO;Oeste
295; $ 820.576.650 ;5;UNION LIBRE;FEMENINO;Oeste
296; $ 680.942.750 ;4;UNION LIBRE;FEMENINO;Oeste
297; $ 382.900.750 ;1;UNION LIBRE;FEMENINO;Oeste
298; $ 276.635.000 ;4;UNION LIBRE;FEMENINO;Oeste
299; $ 1.020.284.950 ;8;UNION LIBRE;FEMENINO;Oeste
300; $ 629.346.050 ;9;UNION LIBRE;FEMENINO;Oeste
301; $ 434.007.250 ;9;UNION LIBRE;FEMENINO;Oeste
302; $ 361.819.450 ;8;UNION LIBRE;FEMENINO;Oeste
303; $ 204.933.050 ;1;UNION LIBRE;FEMENINO;Oeste
304; $ 323.976.100 ;6;UNION LIBRE;FEMENINO;Oeste
305; $ 376.339.950 ;4;UNION LIBRE;FEMENINO;Oeste
306; $ 410.428.400 ;6;UNION LIBRE;FEMENINO;Oeste
307; $ 445.885.800 ;8;UNION LIBRE;FEMENINO;Oeste
308; $ 1.963.509.800 ;9;UNION LIBRE;FEMENINO;Oeste
309; $ 339.132.650 ;4;UNION LIBRE;FEMENINO;Oeste
310; $ 414.961.150 ;1;UNION LIBRE;FEMENINO;Oeste
311; $ 420.860.100 ;4;UNION LIBRE;FEMENINO;Oeste
312; $ 324.702.600 ;3;UNION LIBRE;FEMENINO;Oeste
313; $ 391.464.950 ;7;UNION LIBRE;FEMENINO;Oeste
314; $ 258.056.200 ;3;UNION LIBRE;FEMENINO;Oeste
315; $ 454.041.300 ;3;UNION LIBRE;FEMENINO;Oeste
316; $ 396.026.700 ;1;UNION LIBRE;FEMENINO;Oeste
317; $ 636.398.250 ;9;UNION LIBRE;FEMENINO;Oeste
318; $ 449.465.750 ;1;UNION LIBRE;FEMENINO;Oeste
319; $ 354.492.000 ;3;UNION LIBRE;FEMENINO;Oeste
320; $ 321.833.200 ;5;UNION LIBRE;FEMENINO;Oeste
321; $ 492.680.500 ;1;UNION LIBRE;FEMENINO;Oeste
322; $ 868.844.400 ;1;UNION LIBRE;FEMENINO;Oeste
323; $ 442.473.200 ;4;UNION LIBRE;FEMENINO;Oeste
324; $ 154.673.200 ;2;UNION LIBRE;FEMENINO;Oeste
325; $ 884.746.650 ;2;UNION LIBRE;FEMENINO;Oeste
326; $ 459.035.850 ;3;UNION LIBRE;FEMENINO;Oeste
327; $ 530.991.150 ;8;UNION LIBRE;FEMENINO;Oeste
328; $ 845.427.600 ;1;UNION LIBRE;FEMENINO;Oeste
329; $ 979.119.950 ;8;UNION LIBRE;FEMENINO;Oeste
330; $ 332.715.200 ;2;UNION LIBRE;FEMENINO;Oeste
331; $ 572.371.700 ;2;UNION LIBRE;FEMENINO;Oeste
332; $ 1.128.070.600 ;4;UNION LIBRE;FEMENINO;Oeste
333; $ 637.594.500 ;4;UNION LIBRE;FEMENINO;Oeste
334; $ 1.009.697.750 ;4;UNION LIBRE;FEMENINO;Oeste
335; $ 742.822.600 ;5;UNION LIBRE;FEMENINO;Oeste
336; $ 872.544.050 ;8;UNION LIBRE;FEMENINO;Oeste
337; $ 1.075.417.000 ;6;UNION LIBRE;FEMENINO;Oeste
338; $ 1.005.854.650 ;6;UNION LIBRE;FEMENINO;Oeste
339; $ 727.524.500 ;5;UNION LIBRE;FEMENINO;Oeste
340; $ 797.453.950 ;5;UNION LIBRE;FEMENINO;Oeste
341; $ 490.170.050 ;3;UNION LIBRE;FEMENINO;Oeste
342; $ 253.949.800 ;2;UNION LIBRE;FEMENINO;Oeste
343; $ 340.243.100 ;2;UNION LIBRE;FEMENINO;Oeste
344; $ 617.040.900 ;7;UNION LIBRE;FEMENINO;Oeste
345; $ 341.501.900 ;4;UNION LIBRE;FEMENINO;Oeste
346; $ 408.233.100 ;6;UNION LIBRE;FEMENINO;Oeste
347; $ 408.198.300 ;3;UNION LIBRE;FEMENINO;Oeste
348; $ 279.767.100 ;3;UNION LIBRE;FEMENINO;Oeste
349; $ 441.014.950 ;1;UNION LIBRE;FEMENINO;Oeste
350; $ 1.075.239.500 ;3;UNION LIBRE;FEMENINO;Oeste
351; $ 1.411.875.600 ;1;UNION LIBRE;FEMENINO;Oeste
352; $ 350.290.300 ;4;UNION LIBRE;FEMENINO;Oeste
353; $ 351.595.700 ;3;UNION LIBRE;FEMENINO;Oeste
354; $ 625.315.400 ;5;UNION LIBRE;FEMENINO;Oeste
355; $ 338.887.500 ;2;UNION LIBRE;FEMENINO;Oeste
356; $ 287.369.900 ;4;UNION LIBRE;FEMENINO;Oeste
357; $ 550.124.550 ;3;UNION LIBRE;FEMENINO;Oeste
358; $ 1.029.667.000 ;7;UNION LIBRE;FEMENINO;Oeste
359; $ 499.526.250 ;4;UNION LIBRE;FEMENINO;Oeste
360; $ 337.166.850 ;1;UNION LIBRE;FEMENINO;Oeste
361; $ 415.651.500 ;1;UNION LIBRE;FEMENINO;Oeste
362; $ 446.516.000 ;4;UNION LIBRE;FEMENINO;Oeste
363; $ 554.473.150 ;4;UNION LIBRE;FEMENINO;Oeste
364; $ 309.694.700 ;5;UNION LIBRE;FEMENINO;Oeste
365; $ 533.524.300 ;5;UNION LIBRE;FEMENINO;Oeste
366; $ 701.929.200 ;5;UNION LIBRE;FEMENINO;Oeste
367; $ 390.145.850 ;6;UNION LIBRE;FEMENINO;Oeste
368; $ 482.356.000 ;5;UNION LIBRE;FEMENINO;Oeste
369; $ 1.112.736.150 ;6;SOLTERO;FEMENINO;Oeste
370; $ 332.540.100 ;4;SOLTERO;FEMENINO;Oeste
371; $ 488.181.950 ;2;SOLTERO;FEMENINO;Oeste
372; $ 1.211.851.700 ;6;SOLTERO;FEMENINO;Oeste
373; $ 736.592.000 ;1;SOLTERO;FEMENINO;Oeste
374; $ 528.114.500 ;6;SOLTERO;FEMENINO;Oeste
375; $ 660.803.600 ;7;SOLTERO;FEMENINO;Oeste
376; $ 535.143.150 ;1;SOLTERO;FEMENINO;Oeste
377; $ 1.089.215.950 ;4;SOLTERO;FEMENINO;Oeste
378; $ 1.447.209.700 ;8;SOLTERO;FEMENINO;Oeste
379; $ 1.474.102.300 ;7;SOLTERO;FEMENINO;Oeste
380; $ 359.032.200 ;2;SOLTERO;FEMENINO;Oeste
381; $ 216.338.650 ;0;SOLTERO;FEMENINO;Oeste
382; $ 446.786.950 ;4;SOLTERO;FEMENINO;Oeste
383; $ 369.756.950 ;3;SOLTERO;FEMENINO;Oeste
384; $ 352.383.400 ;3;SOLTERO;FEMENINO;Oeste
385; $ 298.569.550 ;2;SOLTERO;FEMENINO;Oeste
386; $ 407.352.150 ;4;SOLTERO;FEMENINO;Oeste
387; $ 301.082.200 ;1;SOLTERO;FEMENINO;Oeste
388; $ 781.447.750 ;4;SOLTERO;FEMENINO;Oeste
389; $ 672.438.500 ;7;SOLTERO;FEMENINO;Oeste
390; $ 526.638.500 ;7;SOLTERO;FEMENINO;Oeste
391; $ 492.472.150 ;7;SOLTERO;FEMENINO;Oeste
392; $ 1.021.418.450 ;4;SOLTERO;FEMENINO;Oeste
393; $ 503.856.950 ;4;SOLTERO;FEMENINO;Oeste
394; $ 408.637.250 ;0;SOLTERO;FEMENINO;Oeste
395; $ 581.273.100 ;3;SOLTERO;FEMENINO;Oeste
396; $ 344.424.100 ;2;SOLTERO;FEMENINO;Oeste
397; $ 374.583.700 ;4;SOLTERO;FEMENINO;Oeste
398; $ 451.139.600 ;4;SOLTERO;FEMENINO;Oeste
399; $ 342.857.950 ;5;SOLTERO;FEMENINO;Oeste
400; $ 306.063.450 ;1;SOLTERO;FEMENINO;Oeste
